id,similarity,interviewer_length,interviewee_length,ratio,cluster
p58,0.8110308051109314,482,2408,4.995850622406639,4.0
p59,0.8331372141838074,383,2367,6.180156657963447,3.0
p6,0.8139258623123169,392,5658,14.433673469387756,2.0
p60,0.8346294164657593,399,5765,14.448621553884712,1.0
p61,0.8211241960525513,391,239,0.6112531969309463,3.0
p62,0.8680412769317627,548,5536,10.102189781021897,4.0
p63,0.762518048286438,668,4473,6.696107784431137,4.0
p64,0.8811890482902527,556,7995,14.379496402877697,4.0
p65,0.8683114647865295,570,7568,13.27719298245614,1.0
p66,0.8879764676094055,698,6592,9.444126074498568,1.0
p67,0.9336203336715698,759,8097,10.66798418972332,2.0
p69,0.8751322031021118,569,3104,5.45518453427065,4.0
p7,0.857047975063324,410,3589,8.753658536585366,2.0
p70,0.8288488984107971,312,1621,5.19551282051282,0.0
p71,0.8189414143562317,353,2470,6.997167138810198,0.0
p72,0.8114984035491943,363,1620,4.462809917355372,4.0
p73,0.8239762783050537,481,3116,6.478170478170478,1.0
p74,0.7677636742591858,312,1545,4.951923076923077,3.0
p76,0.8235266208648682,514,3039,5.912451361867705,3.0
p77,0.8401182889938354,392,3140,8.010204081632653,3.0
p78,0.822250247001648,385,1727,4.485714285714286,0.0
p79,0.8496254086494446,813,5610,6.900369003690037,4.0
p8,0.8231103420257568,377,3832,10.16445623342175,4.0
p80,0.8406521081924438,560,3377,6.0303571428571425,1.0
p81,0.7937667965888977,303,3409,11.250825082508252,2.0
p83,0.7446336150169373,389,2159,5.5501285347043705,4.0
p84,0.9010515809059143,512,5245,10.244140625,3.0
p85,0.8830755352973938,703,5660,8.051209103840684,2.0
p86,0.8940765857696533,601,5643,9.389351081530782,1.0
p89,0.867562472820282,483,3576,7.403726708074534,2.0
pp1,0.8890380859375,543,2191,4.0349907918968695,2.0
pp10,0.8937770128250122,447,2488,5.565995525727069,2.0
pp11,0.8713549375534058,398,2335,5.866834170854271,0.0
pp12,0.85128253698349,434,2380,5.483870967741935,3.0
pp13,0.8447468876838684,435,2147,4.935632183908046,3.0
pp14,0.8960528373718262,477,3200,6.7085953878406706,3.0
pp15,0.8915309309959412,534,5882,11.014981273408239,2.0
pp16,0.8305387496948242,452,5816,12.867256637168142,4.0
pp17,0.8520282506942749,455,5121,11.254945054945056,2.0
pp20,0.864642322063446,583,2846,4.8816466552315605,4.0
pp21,0.8457902669906616,415,2936,7.074698795180723,1.0
pp22,0.8650282621383667,405,4338,10.71111111111111,3.0
pp24,0.8206559419631958,414,2142,5.173913043478261,0.0
pp25,0.8484451770782471,529,6745,12.75047258979206,4.0
pp27,0.904381275177002,619,3486,5.6316639741518575,0.0
pp29,0.8691331148147583,431,4322,10.02784222737819,3.0
pp3,0.8824406862258911,576,7980,13.854166666666666,1.0
pp30,0.8662497401237488,472,1889,4.002118644067797,0.0
pp31,0.8850229978561401,580,5240,9.03448275862069,2.0
pp32,0.8840591907501221,445,3727,8.375280898876404,0.0
pp33,0.8128145337104797,404,4556,11.277227722772277,1.0
pp34,0.8902027010917664,539,5762,10.690166975881262,3.0
pp35,0.8466325402259827,427,2320,5.433255269320843,0.0
pp37,0.8268608450889587,386,2449,6.344559585492228,1.0
pp4,0.8830811381340027,565,6604,11.68849557522124,4.0
pp42,0.9179383516311646,672,3248,4.833333333333333,3.0
pp43,0.8310084342956543,634,1932,3.047318611987382,4.0
pp44,0.9184836745262146,709,5506,7.765867418899859,2.0
pp45,0.8643960356712341,456,3598,7.890350877192983,1.0
pp47,0.8874013423919678,573,1877,3.275741710296684,0.0
pp48,0.9215884208679199,797,2157,2.7063989962358845,1.0
pp49,0.8675329685211182,605,5242,8.664462809917355,0.0
pp5,0.9101104140281677,511,2611,5.109589041095891,3.0
pp50,0.8340480923652649,639,4098,6.413145539906103,1.0
pp52,0.8834206461906433,650,3991,6.14,3.0
pp53,0.8553216457366943,500,1263,2.526,4.0
pp55,0.8956028819084167,382,2553,6.683246073298429,2.0
pp56,0.8590462803840637,431,2638,6.120649651972157,0.0
pp57,0.8654991388320923,409,3966,9.69682151589242,0.0
pp58,0.8283305764198303,410,2644,6.4487804878048784,2.0
pp59,0.8645753264427185,416,3646,8.764423076923077,2.0
pp6,0.8436099290847778,406,5934,14.61576354679803,2.0
pp60,0.8375624418258667,443,6206,14.009029345372461,3.0
pp61,0.9256885647773743,512,1810,3.53515625,2.0
pp62,0.8444828987121582,444,4159,9.367117117117116,4.0
pp63,0.9046417474746704,673,3818,5.673105497771174,3.0
pp64,0.8711650371551514,592,6562,11.08445945945946,4.0
pp65,0.9149651527404785,606,7680,12.673267326732674,2.0
pp66,0.8570572137832642,522,7066,13.53639846743295,3.0
pp67,0.9217931032180786,579,7098,12.259067357512953,2.0
pp69,0.9009942412376404,536,3716,6.932835820895522,3.0
pp7,0.8279775977134705,342,2642,7.7251461988304095,2.0
pp70,0.7996963858604431,410,2650,6.463414634146342,1.0
pp71,0.8385310173034668,417,2955,7.086330935251799,0.0
pp72,0.8215988278388977,418,2711,6.485645933014354,4.0
pp73,0.8119312524795532,412,3354,8.140776699029127,3.0
pp74,0.7874441742897034,391,1931,4.938618925831202,4.0
pp76,0.8465969562530518,431,2860,6.635730858468677,0.0
pp77,0.825335681438446,391,2625,6.713554987212277,0.0
pp78,0.8581038117408752,440,1433,3.256818181818182,2.0
pp79,0.8487476110458374,483,5196,10.75776397515528,2.0
pp8,0.8804870843887329,458,3583,7.823144104803493,1.0
pp80,0.8624330163002014,455,2411,5.298901098901099,0.0
pp81,0.848030149936676,380,3828,10.073684210526316,0.0
pp83,0.8782395720481873,492,2258,4.5894308943089435,4.0
pp84,0.8198978304862976,408,4363,10.693627450980392,3.0
pp85,0.8587502241134644,690,5728,8.30144927536232,1.0
pp86,0.930603563785553,663,5191,7.829562594268476,2.0
pp89,0.8799945116043091,606,5688,9.386138613861386,2.0
