sentence,compound,pos,neu,neg,transcript_id
Umm  so I guess this past semester actually  I’m associate advisor for umm  freshmen and I work with my freshmen advisor as well and another associate advisor  and er   the three of us were trying to come up with an event to host for the freshman and I think we all  er  were very uhh  set on our ideas.,0.2732,0.035,0.965,0.0,p11
So having to full time communicate and work on an idea that could bring all our thoughts and goals together .,0.0,0.0,1.0,0.0,p11
Um  so we had to work together to formulate some sort of event that would satisfy each of our different goals and that was difficult at first  ‘cause we had just met each other and it was difficult to understand where the other people were coming from.,-0.25,0.058,0.846,0.096,p11
But after that  and after communicating what our main goals for the event for would be  we eventually figured out what we wanted to do.,0.0,0.0,1.0,0.0,p11
Can you be more specific about that  what you eventually figured out?,0.0,0.0,1.0,0.0,p11
Uhh  yeah so  we had — we were trying to communicate via email at first  so I think that was  uhh inefficient  especially since we had only met in a group once before  umm so meeting in person and really  trying to outline not just like   what the event was going to be  what our purpose of the event was going to be  and what we trying to communicate with the freshmen.,0.0232,0.03,0.942,0.028,p11
I think by boiling down to what our purpose was for the event  we were able to build it up from there.,0.0,0.0,1.0,0.0,p11
Okay  so can tell me about some of your weakness?,-0.2263,0.15,0.63,0.22,p11
Do you have any idea?,0.0,0.0,1.0,0.0,p11
Umm  so I think one of my weaknesses is public speaking  actually  and uhh  I think by taking a variety of classes  especially this one class that I’m in  that focuses on management and communication .,-0.3612,0.0,0.933,0.067,p11
I’ve been kind of thrown into positions where I have to give impromptu speeches  uhh  and debate my point in different arguments and I think that the practice is helping me a lot and it allows me to become more comfortable and more confident in what I’m saying  which I think helps me in the long run like public speaking in general.,0.893,0.197,0.766,0.037,p11
I think I’ve been able to build up my confidence and know like  how to structure my speeches and interviews and impromptus better.,0.8271,0.303,0.697,0.0,p11
Great.,0.6249,1.0,0.0,0.0,p11
So why do you think we should hire you?,0.0,0.0,1.0,0.0,p11
Uhh  I think my different leadership positions as well as my academic experience  umm would allow me to perform well on the job.,0.6249,0.234,0.766,0.0,p11
I think  I’ve worked umm  both individually in a project as well as in a team-focused environment  which umm  I think is key for consulting and investment banking positions.,0.2732,0.07,0.93,0.0,p11
I also feel that my MIT background  uh  the quantitative analysis that I’ve done in classes  as well as my internship experiences would help perform well on the job as well  so… Great.,0.9022,0.319,0.681,0.0,p11
So how are you doing today?,0.0,0.0,1.0,0.0,p12
I'm good  how are you?,0.4404,0.42,0.58,0.0,p12
Good.,0.4404,1.0,0.0,0.0,p12
So  why don't you tell me about yourself?,0.0,0.0,1.0,0.0,p12
Ok  so  I'm a Junior at MIT majoring in Mechanical Engineering.,0.296,0.18,0.82,0.0,p12
Uh my focus is in uh Robotics and Product Design.,0.0,0.0,1.0,0.0,p12
Uh I'm originally from Seattle  Washington.,0.0,0.0,1.0,0.0,p12
Ok.,0.0,0.0,1.0,0.0,p12
Any extracurriculars  any interests?,0.25,0.4,0.6,0.0,p12
Ummm I'm really interested in a combination of robotics and like psychology  phased in.,0.6697,0.314,0.686,0.0,p12
So artificial intelligence  or that vein of thinking.,0.5233,0.326,0.674,0.0,p12
Um I'm also  I do a little bit of theater on the side.,0.0,0.0,1.0,0.0,p12
So  considering doing some sort of combination.,0.0,0.0,1.0,0.0,p12
It's a wide range of interests so I'm trying to figure out a way to uh put in a lot of it into one thing but  yeah.,0.5106,0.147,0.853,0.0,p12
Great.,0.6249,1.0,0.0,0.0,p12
Mmhmm.,0.0,0.0,1.0,0.0,p12
Can you tell me about a time you demonstrated leadership?,0.0,0.0,1.0,0.0,p12
Yeah  ok.,0.296,0.688,0.312,0.0,p12
So  um  in high school I was a life guard.,0.0,0.0,1.0,0.0,p12
And that's  it was a great job but it was a lot of working with other lifeguards in kind of in a  a team situation.,0.3716,0.096,0.904,0.0,p12
Um  and a lot of the times one person would have to step up in order to be a leader with you know uh like swi-  like we taught swim lessons.,0.6124,0.147,0.853,0.0,p12
And I would have a partner with me and we'd both be teaching the same kids.,0.0,0.0,1.0,0.0,p12
And  I'd have to  you know  tell them what to do  or tell them what exactly we were going to do during that class.,0.0,0.0,1.0,0.0,p12
That sort of stuff.,0.0,0.0,1.0,0.0,p12
Ok great.,0.743,1.0,0.0,0.0,p12
What about  can you tell me about a time you worked on a team  and you had a conflict or challenge  and how you went about solving that.,0.1027,0.119,0.806,0.074,p12
Ok ummm  not going to use the lifeguard example again.,0.296,0.196,0.804,0.0,p12
(both laugh) Uhhhh in high school we would have to work on team projects a lot  ummm I don't know in history class or that kind of a thing  work  working with projects.,0.5574,0.101,0.899,0.0,p12
And sometimes we'd have kids who wouldn't do their home- do  you know their part on time  or people who didn't like they  what they were doing.,-0.2755,0.0,0.925,0.075,p12
There was one specific time where we had a conflict where one girl just decided she didn't really want to do you know any of the  any of the project  she wasn't really showing up to class  wasn't doing any of the  any of the stuff she had to so we had to talk to her  and figure out what was going on and kind of resolve the conflict in that way.,-0.4082,0.03,0.891,0.079,p12
Can you be more specific?,0.0,0.0,1.0,0.0,p12
In what way?,0.0,0.0,1.0,0.0,p12
Like - Like  you  you just spoke with her?,0.6124,0.417,0.583,0.0,p12
Yeah.,0.296,1.0,0.0,0.0,p12
So I mean us as a group we met with the teacher umm and told her what was happening.,0.0,0.0,1.0,0.0,p12
And then  Oh ok  ok.,0.296,0.355,0.645,0.0,p12
Ok  ok.,0.296,0.688,0.312,0.0,p12
The next  the next day when the girl came to class we  you know sat her down  asked her why she wasn't doing the homework.,0.0,0.0,1.0,0.0,p12
Whatever  that kind of stuff.,0.0,0.0,1.0,0.0,p12
But it was  it was just a case of high school kids not wanting to do anything.,0.0,0.0,1.0,0.0,p12
So (laughs).,0.5413,0.777,0.223,0.0,p12
Right  ok.,0.0,0.0,1.0,0.0,p12
Can you tell me one of your weaknesses  and what you're doing to overcome it?,-0.3612,0.0,0.848,0.152,p12
Ok ummm  I have a really bad habit of trying to do everything all at once  and I sometimes put too much on my plate.,-0.3804,0.076,0.793,0.131,p12
And I recognize that you have to delegate tasks in a group or tell someone when they've given you too much to do.,0.0,0.0,1.0,0.0,p12
So I think it's kind of  in terms of how I'm trying to improve that  is be realistic with myself on the amount of time I have or what my skills are.,0.4404,0.086,0.914,0.0,p12
And if I need help ask for it or if I need someone to do part of it  ask for it.,0.4019,0.119,0.881,0.0,p12
And early on  not the day before something has to be done  tell them that it's not going to happen.,0.0,0.0,1.0,0.0,p12
And last question - why do you think we should hire you?,0.0,0.0,1.0,0.0,p12
Ummmm I think you should hire me because your company  ummm is a great  would be a great opportunity for me to learn and improve as an Engineer umm and I think I could just add a lot to the team in general in terms of like  like my wide interests  and  and education background.,0.9633,0.303,0.697,0.0,p12
How are you doing today?,0.0,0.0,1.0,0.0,p13
Good.,0.4404,1.0,0.0,0.0,p13
Good.,0.4404,1.0,0.0,0.0,p13
So  why don't you tell me about yourself?,0.0,0.0,1.0,0.0,p13
Ok  umm  I'm currently a junior at M.I.T.,0.296,0.239,0.761,0.0,p13
studying electrical engineering and computer science.,0.0,0.0,1.0,0.0,p13
Umm  I first became interested in engineering in high school  I guess  when I worked in a lab at  a material science lab  at U.C.,0.4019,0.101,0.899,0.0,p13
Berkley.,0.0,0.0,1.0,0.0,p13
Umm  and since then I've worked at a variety of different places including labs and at  uh  and in the industry including electrical engineering labs here  and at Standford  and umm Promex Industries  which is a chip packaging company in the silicon valley.,0.0,0.0,1.0,0.0,p13
So  tell me about a time you demonstrated leadership.,0.0,0.0,1.0,0.0,p13
Umm  in high school I was part of the school orchestra and I played bassoon.,0.34,0.146,0.854,0.0,p13
I was the principle bassoon there.,0.0,0.0,1.0,0.0,p13
So  that means I was in charge of the bassoon section.,0.0,0.0,1.0,0.0,p13
So basically  umm  I ran extra  I ran practices for  within our section outside of  uh   when the orchestra would get together and practice.,0.0,0.0,1.0,0.0,p13
Mm Hm.,0.0,0.0,1.0,0.0,p13
I coordinated that.,0.0,0.0,1.0,0.0,p13
I also  uh  set up events between the woodwind sections to  uh you know  so people would get to know each other and  you know  we could practice together and things like that.,0.3612,0.072,0.928,0.0,p13
Great.,0.6249,1.0,0.0,0.0,p13
Ok.,0.0,0.0,1.0,0.0,p13
Tell me about time you were working on a team and faced a challenge.,0.0772,0.091,0.909,0.0,p13
How did you solve that problem?,-0.2263,0.212,0.471,0.318,p13
Umm  this past summer I worked in Spain.,0.0,0.0,1.0,0.0,p13
Umm  in operations research and I was part of a research group there.,0.0,0.0,1.0,0.0,p13
Umm  it was  so  we had  uh  within our team  it was  communicating with each other was the biggest challenge because my Spanish isn't so great and their English wasn't so great.,-0.8392,0.034,0.752,0.215,p13
Mm hm.,0.0,0.0,1.0,0.0,p13
So  umm  what we ended  we basically communicated through like  the papers  through the papers we read  umm  we  well  one thing that helped was  we both got  like everyone  they got better at speaking English  I got better at understanding them.,0.8979,0.259,0.741,0.0,p13
I guess they got better at understanding my Spanish also.,0.4404,0.244,0.756,0.0,p13
So  we were able to communicate by just  you know  talking really slowly  repeating everything a couple times.,0.0,0.0,1.0,0.0,p13
Umm  we also did a lot of technical things and so those were mostly related to technical papers and things like that.,0.3612,0.106,0.894,0.0,p13
Those were written mostly in English  so that was  that wasn't so much of a problem for me...but...it made it  because they were working in the area already and I was new to the area  looking through these made it easier for me to understand what my role was  what I was supposed to do.,0.0258,0.048,0.906,0.046,p13
Umm  things like that.,0.3612,0.455,0.545,0.0,p13
Ok  great.,0.743,1.0,0.0,0.0,p13
Can you tell me about one of your weaknesses and what you were doing to overcome it?,-0.3612,0.0,0.865,0.135,p13
umm  well  one thing right now is that I can get really hung up on small details and  uh  it becomes a problem because its  it can be distracting and cause me to lose sight of  like  the big picture.,-0.4588,0.097,0.742,0.161,p13
But since coming to M.I.T.,0.0,0.0,1.0,0.0,p13
I've been  I've been involved in a lot of classes  a lot of activites and things and that's forced me to manage my time better.,-0.0258,0.1,0.796,0.104,p13
So  now that  uh  like  I have  because I have a lot of time constraints  I'm forced to finish a project or assignment or whatever  and I can't  I can't get caught up in  like  little things that don't ultimately make a big a difference.,0.25,0.1,0.84,0.06,p13
So  um  by being forced to manage my time more  I'm  uh  overcoming this problem.,-0.729,0.0,0.68,0.32,p13
Great  ok.,0.6249,0.804,0.196,0.0,p13
So  why do you think we should hire you?,0.0,0.0,1.0,0.0,p13
Well  I have the  I have the quantitative and qualitative skills necessary to accomplish  uh  accomplish project goals and get things done.,0.7717,0.288,0.712,0.0,p13
Uh  I can solve problems and  and can work pretty well in a team.,0.5267,0.359,0.505,0.136,p13
Ok I'm also very interested in what this company does  and  um  I'd really like to work there.,0.7897,0.347,0.653,0.0,p13
Great!,0.6588,1.0,0.0,0.0,p13
So  how are you doing today Good  how are you?,0.4404,0.244,0.756,0.0,p14
Good.,0.4404,1.0,0.0,0.0,p14
Tell me about yourself.,0.0,0.0,1.0,0.0,p14
I'm a student at MIT and Im a junior right now but I'm probably gonna graduate this year.,0.0,0.0,1.0,0.0,p14
So  uh  that's kind of exciting at scary at the same time.,-0.0754,0.18,0.621,0.199,p14
Uh  like I said I'm a computer science major so some of the stuff that I'm interested in is computational photography and a lot of graphic stuff.,0.6369,0.172,0.828,0.0,p14
I've got a bunch of experience with web development mainly  uh front end development so that's uh  I guess where a lot of my experience lies.,-0.4215,0.0,0.899,0.101,p14
Great.,0.6249,1.0,0.0,0.0,p14
Tell me about a time that you demonstrated leadership.,0.0,0.0,1.0,0.0,p14
Um  so I was  a member of the Society of Women Engineers and with the Graduate Students Association of MIT and the senior class  they run the fall career fair which is the only career fair in the fall and it's the biggest at MIT.,0.5574,0.097,0.903,0.0,p14
I was actually the publicity chair for that.,0.0,0.0,1.0,0.0,p14
So  it involves you know  interfacing  you know  with over 230 companies and dealing with not only making the guide book and making sure all of the information is readily available to students but also publicizing individual info sessions and obviously the career fair itself.,0.5574,0.097,0.903,0.0,p14
SO  um  it definitely was a lot of responsibility and not only did I have to become a leader for the Society of Women Engineers but also fora leader for this smaller team of seven people that ran the career fair itself.,0.6442,0.116,0.884,0.0,p14
Great.,0.6249,1.0,0.0,0.0,p14
Alright.,0.25,1.0,0.0,0.0,p14
Tell me about a time when you were working on a team and you faced a challenge.,0.0772,0.075,0.925,0.0,p14
How did you overcome that problem.,-0.4019,0.0,0.649,0.351,p14
Well  I...so  for one of my classes  we have to  it's a software design class where you have to work with other students.,0.2732,0.087,0.913,0.0,p14
So  I was assigned two teammates randomly and we had one teammate who really wasn't pulling their weight and wasn't contributing in a way that was you know  fair and even  and so what we ended up doing is  we all thankfully were able to sit down and talk.,0.6249,0.098,0.902,0.0,p14
We were able to get a hold of her and we realized it was because we were dividing the work in a way that made it really difficult for her  it was not playing off her strengths.,-0.1742,0.066,0.828,0.107,p14
So  we redistributed the work and she was able to do things that were still helpful but played more to her strengths.,0.8379,0.32,0.68,0.0,p14
Great.,0.6249,1.0,0.0,0.0,p14
Okay.,0.2263,1.0,0.0,0.0,p14
Tell me one of your weaknesses and what you're doing to overcome it.,-0.3612,0.0,0.828,0.172,p14
Um  I think one of my weaknesses is I'm a perfectionist so when I do work on teams I have trouble sometimes delegating tasks because I want to micromanage and make sure everything is just the way it is.,-0.0258,0.135,0.751,0.115,p14
But what I've done to overcome that is basically just sort of familiarized myself with how to um  like  say no to a task and just kind of  I guess  modualize [sic] projects more.,0.1154,0.085,0.841,0.074,p14
So  I think I had trouble when I was always thinking big picture and then I would want to look at every single detail i that big picture.,-0.34,0.043,0.867,0.09,p14
But if I just give myself one part of the project and just  you know  divide it into different modules in my head then I'm able to just  you know  perfect my one part but not so much focus on every little detail.,0.7227,0.107,0.893,0.0,p14
Okay.,0.2263,1.0,0.0,0.0,p14
And why do you think we should hire you?,0.0,0.0,1.0,0.0,p14
Uh  I think that my skill set is pretty unique because I'm both technical and also well-spoken and I'd be able to communicate really well.,0.6801,0.196,0.804,0.0,p14
And I think it's a unique combination to have both of those skills.,0.0,0.0,1.0,0.0,p14
Great.,0.6249,1.0,0.0,0.0,p14
Okay so how are you doing today?,0.2263,0.241,0.759,0.0,p15
I'm doing fine uh  thank you how about you?,0.5106,0.381,0.619,0.0,p15
Um  have you like you know um  the storm  I hope that hasn't like disturbed any power too much.,0.6677,0.307,0.607,0.085,p15
No actually it was fine I was expecting it to be a lot worse.,-0.5423,0.099,0.608,0.293,p15
I think a lot of people were a lot worse off than I was.,-0.4767,0.0,0.807,0.193,p15
Oh yeah.,0.296,0.688,0.312,0.0,p15
I mean Boston didn't get hit too bad so.,-0.5423,0.0,0.696,0.304,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
That's at least very fortunate.,0.4927,0.444,0.556,0.0,p15
Great so can you tell me about yourself?,0.6249,0.369,0.631,0.0,p15
Um  okay so I'm a current junior at MIT.,0.2263,0.192,0.808,0.0,p15
Okay.,0.2263,1.0,0.0,0.0,p15
I'm studying biological engineering.,0.0,0.0,1.0,0.0,p15
Um  so it's some  some of the things I do on campus.,0.0,0.0,1.0,0.0,p15
Um  I'm really involved in um  MIT Met Life.,0.0,0.0,1.0,0.0,p15
So I'm  I'm secretary of the club and I go to the meetings um  and um  part of my roles like help you know organize groups where um  poster sessions and information sessions.,0.6369,0.144,0.856,0.0,p15
Just like spread the word of Met Life on campus um  and that's um  sort of helps me like explore like it has really gotten me more interested in a field of like healthcare.,0.9231,0.353,0.647,0.0,p15
Um  that plus like my um  my studies.,0.3612,0.263,0.737,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
Um  I'm also involved in Chinese student club escort culture.,0.0,0.0,1.0,0.0,p15
So I do a lot of you know pudding on campus for um  events like night market which I worked  I helped organize just last week.,0.3612,0.091,0.909,0.0,p15
Oh okay.,0.2263,0.655,0.345,0.0,p15
So um  it that sort of helps me with communication  my communication skills.,0.3197,0.161,0.839,0.0,p15
You know talking to the officers of other student clubs.,0.0,0.0,1.0,0.0,p15
Great.,0.6249,1.0,0.0,0.0,p15
So tell me about a time you demonstrated leadership.,0.0,0.0,1.0,0.0,p15
Okay so um  last um  uh  this past summer I worked in a research lab in Bangkok and it was the first time that I had ever been outside of you know the United States for an extended period of time.,0.5719,0.108,0.892,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
And one of my assignments was to you know sort of lead uh  sort of like drive the direction of like a research project that they were doing  which was to research um  a generic um  in hopes of releasing it to the market.,0.7584,0.155,0.845,0.0,p15
Great.,0.6249,1.0,0.0,0.0,p15
Um  sometime in the future.,0.0,0.0,1.0,0.0,p15
Because I had  I was partnered up with some a lab partner that was less experienced than I was um  I found myself in many situations having to help guide her along and getting up to speed with the project and the techniques that we needed to do our experiments.,0.4019,0.052,0.948,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
Um  it was  it was a little bit of a strange dynamic because she was older than me.,0.2023,0.127,0.784,0.088,p15
Because she was an incoming graduate student  but she did not have much research like lab experience.,0.5023,0.169,0.831,0.0,p15
So I had to balance like being informative without making it seem like this  like she was in some ways my superior.,0.8853,0.387,0.613,0.0,p15
So that was like an um  I had  I had to like teach her the techniques you know coming off as like oh I know more than you do.,0.7759,0.23,0.77,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
Um  but what I found was what worked for both of us was that um I would like explain it to her before we were in the lab which helped cut down a lot of the frustration that came up if like she had to ask me questions like every  like between like every set.,0.8573,0.229,0.676,0.096,p15
So that's um  that's probably the one way I showed leadership.,0.0,0.0,1.0,0.0,p15
Great  okay.,0.7184,1.0,0.0,0.0,p15
Tell me about a time you were working on a team and you faced a challenge and what you did to solve that problem.,-0.1531,0.116,0.784,0.101,p15
Okay so the  a couple um  IPs I worked for a start up um  they were a green billing research directory  Okay.,0.4215,0.16,0.84,0.0,p15
online.,0.0,0.0,1.0,0.0,p15
And I worked for my fellow exterior on helping to market this  the use of this directory to the clients.,0.296,0.104,0.896,0.0,p15
Um  so we had to  it was a little bit difficult because we had to like  we had to cold call like people and getting over the initial awkwardness of what it's like to talk to somebody you've never met or seen before and trying to like pitch an idea to them  and be like oh there's this really great resource and you've signed up for it.,0.9181,0.212,0.739,0.049,p15
But we've noticed that you like hadn't used it.,0.5023,0.289,0.711,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
Um  are there things that like you feel would make it better.,0.6597,0.351,0.649,0.0,p15
Um  things that you would like to see that you think would make it more effective.,0.7089,0.296,0.704,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
And um  we both had to sort of like teach ourselves how to talk to like the  the reps that we're calling and we would um  strategize what worked  what didn't  what had people respond and what didn't  and- Mm-hm.,0.5729,0.11,0.89,0.0,p15
And by like documenting it all down also.,0.3612,0.263,0.737,0.0,p15
So that we could leave like a record of what worked for maybe someone else was to found.,0.3182,0.127,0.812,0.061,p15
So um  eventually we actually got like a system.,0.3612,0.238,0.762,0.0,p15
Like a way we would structure the questions and ask them that word and like list like a couple response.,0.7579,0.306,0.694,0.0,p15
Great all right.,0.6249,0.672,0.328,0.0,p15
Can you tell me one of your weaknesses and what you're doing to overcome it.,-0.3612,0.0,0.848,0.152,p15
Okay um  so something so a weakness that I found um  and I'm still like working to try to like overcome it is I tend to be long winded in explaining things.,0.4256,0.182,0.737,0.081,p15
Um  it's hard for me to take something that I'm thinking about and communicating it um  concisely um  the first time around.,-0.1027,0.0,0.938,0.062,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
Because I feel like I always leave something out after I finish saying it.,0.3182,0.159,0.764,0.076,p15
So I tend to go back and elaborate.,0.0,0.0,1.0,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
And then while I'm thinking about it still I'll like talk more about what's coming to mind.,0.3612,0.135,0.865,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
Um  it's something that I've been working on by siding it for things like this.,0.3612,0.152,0.848,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
And by trying to take up a more prominent role in like the  in like the clubs I'm in and like trying to you know participate more actively in the classes.,0.893,0.328,0.672,0.0,p15
Um  trying to as much as I can to go to um  lab presentations for my year off and speaking- Mm-hm.,0.0,0.0,1.0,0.0,p15
In front of audiences to try to um  make myself less long winded and more precise.,0.0,0.0,1.0,0.0,p15
Alright great and last question.,0.7269,0.67,0.33,0.0,p15
Why do you think we should hire you?,0.0,0.0,1.0,0.0,p15
Um  I think that I can bring I don't know like something  different a new perspective to the table especially coming from MIT.,-0.2755,0.0,0.912,0.088,p15
Um  having had like a very quantitative background.,0.3612,0.263,0.737,0.0,p15
Mm-hm.,0.0,0.0,1.0,0.0,p15
